;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
368;600.843811;863.992522;660.9281921;620.8719381;977.8422411;717.3940172;368000000;-67.57809449;63.99626098;-37.53590394;-57.56403097;120.9211206;-9.302991419
369;601.0873955;864.5327282;661.1961351;621.123642;979.8149366;717.5733471;369000000;-68.45630225;63.26636411;-38.40193247;-58.43817899;120.9074683;-10.21332643
370;601.3289585;865.0693451;661.4618544;621.3732572;981.7845926;717.7508739;370000000;-69.33552073;62.53467253;-39.2690728;-59.31337142;120.8922963;-11.12456305
371;601.5685169;865.6023964;661.7253686;621.6208008;983.751214;717.9266156;371000000;-70.21574153;61.80119819;-40.13731569;-60.18959958;120.875607;-12.03669219
372;601.8060873;866.1319058;661.986696;621.8662902;985.7148053;718.1005902;372000000;-71.09695635;61.06595291;-41.00665199;-61.0668549;120.8574026;-12.9497049
373;602.0416861;866.657897;662.2458547;622.1097423;987.6753712;718.2728154;373000000;-71.97915694;60.32894848;-41.87707263;-61.94512883;120.8376856;-13.86359228
374;602.2753298;867.1803931;662.5028628;622.3511741;989.6329164;718.4433089;374000000;-72.8623351;59.59019657;-42.74856861;-62.82441294;120.8164582;-14.77834554
375;602.5070345;867.6994176;662.757738;622.5906023;991.5874455;718.612088;375000000;-73.74648274;58.8497088;-43.62113101;-63.70469883;120.7937228;-15.69395598
376;602.7368164;868.2149934;663.010498;622.8280436;993.5389632;718.7791701;376000000;-74.6315918;58.10749671;-44.49475098;-64.58597819;120.7694816;-16.61041497
377;602.9646914;868.7271435;663.2611605;623.0635144;995.4874742;718.944572;377000000;-75.51765431;57.36357174;-45.36941974;-65.46824278;120.7437371;-17.52771398
378;603.1906753;869.2358906;663.5097428;623.2970312;997.432983;719.1083109;378000000;-76.40466235;56.61794529;-46.24512858;-66.35148442;120.7164915;-18.44584456
379;603.4147838;869.7412573;663.7562622;623.52861;999.3754943;719.2704033;379000000;-77.29260808;55.87062865;-47.12186888;-67.23569501;120.6877472;-19.36479836
380;603.6370326;870.2432661;664.0007358;623.758267;1001.315013;719.4308658;380000000;-78.18148371;55.12163305;-47.99963208;-68.1208665;120.6575064;-20.2845671
381;603.8574369;870.7419393;664.2431806;623.9860182;1003.251543;719.5897148;381000000;-79.07128153;54.37096967;-48.87840968;-69.00699091;120.6257714;-21.20514258
382;604.0760122;871.2372991;664.4836134;624.2118793;1005.185089;719.7469666;382000000;-79.96199389;53.61864956;-49.75819328;-69.89406035;120.5925446;-22.12651668
